iter	Passed	Remaining
0	1	1244
1	2	1193
2	3	1194
3	4	1192
4	5	1186
5	7	1173
6	8	1158
7	9	1150
8	10	1168
9	11	1159
10	12	1153
11	13	1146
12	15	1143
13	16	1138
14	17	1130
15	18	1125
16	19	1120
17	20	1116
18	21	1112
19	22	1108
20	23	1105
21	24	1103
22	25	1099
23	26	1096
24	28	1095
25	29	1093
26	30	1092
27	31	1095
28	32	1091
29	33	1091
30	34	1089
31	35	1087
32	37	1088
33	38	1087
34	39	1085
35	40	1083
36	41	1081
37	42	1078
38	43	1076
39	44	1073
40	45	1070
41	46	1068
42	47	1067
43	49	1065
44	50	1066
45	51	1063
46	52	1061
47	53	1059
48	54	1057
49	55	1055
50	56	1054
51	57	1051
52	58	1049
53	59	1047
54	60	1045
55	61	1044
56	63	1046
57	64	1045
58	65	1043
59	66	1041
60	67	1040
61	68	1039
62	69	1037
63	70	1035
64	71	1034
65	73	1033
66	74	1031
67	75	1029
68	76	1028
69	77	1026
70	78	1024
71	79	1022
72	80	1021
73	81	1019
74	82	1018
75	83	1016
76	84	1014
77	85	1013
78	86	1011
79	87	1010
80	88	1008
81	89	1006
82	90	1004
83	91	1003
84	93	1002
85	94	1001
86	95	999
87	96	1001
88	97	999
89	98	997
90	99	995
91	100	994
92	101	992
93	102	990
94	103	989
95	104	987
96	105	985
97	106	984
98	108	983
99	109	981
100	110	980
101	111	978
102	112	977
103	113	975
104	114	974
105	115	973
106	116	972
107	117	970
108	118	969
109	119	968
110	120	966
111	121	964
112	122	962
113	123	961
114	124	960
115	125	959
116	126	958
117	127	956
118	129	955
119	130	953
120	131	952
121	132	951
122	133	950
123	134	948
124	135	947
125	136	946
126	137	945
127	138	943
128	139	941
129	140	940
130	141	939
131	142	939
132	143	937
133	144	936
134	146	935
135	147	934
136	148	932
137	149	931
138	150	930
139	151	928
140	152	927
141	153	925
142	154	925
143	155	923
144	156	922
145	157	921
146	158	920
147	159	918
148	160	917
149	161	915
150	162	914
151	163	913
152	164	911
153	165	910
154	166	909
155	167	907
156	168	906
157	169	905
158	170	903
159	171	902
160	172	900
161	173	899
162	174	898
163	176	897
164	177	896
165	178	894
166	179	893
167	180	892
168	181	890
169	182	889
170	183	887
171	184	886
172	185	885
173	186	883
174	187	882
175	188	880
176	189	883
177	191	882
178	191	880
179	193	879
180	194	877
181	194	876
182	195	874
183	196	873
184	197	872
185	198	870
186	199	869
187	200	868
188	201	866
189	202	865
190	203	863
191	204	862
192	206	861
193	206	859
194	207	858
195	208	857
196	210	856
197	211	854
198	212	853
199	213	852
200	214	850
201	215	849
202	216	848
203	217	847
204	218	845
205	219	844
206	220	843
207	221	842
208	222	841
209	223	839
210	224	838
211	225	837
212	226	836
213	227	834
214	228	833
215	229	831
216	230	830
217	231	829
218	232	828
219	233	826
220	234	825
221	235	824
222	236	823
223	237	822
224	238	820
225	239	819
226	240	818
227	241	817
228	242	816
229	243	814
230	244	813
231	245	812
232	246	811
233	247	809
234	248	808
235	249	807
236	250	806
237	251	805
238	252	804
239	253	803
240	254	801
241	255	800
242	256	799
243	257	797
244	258	796
245	259	795
246	260	794
247	261	793
248	262	792
249	263	791
250	264	790
251	265	789
252	266	787
253	268	787
254	269	786
255	270	785
256	271	784
257	272	783
258	273	781
259	274	780
260	275	779
261	276	778
262	277	777
263	278	776
264	279	775
265	280	774
266	281	773
267	282	772
268	283	771
269	284	770
270	285	769
271	287	768
272	288	767
273	289	766
274	290	765
275	291	763
276	292	762
277	293	761
278	294	760
279	295	759
280	296	758
281	297	757
282	298	756
283	299	755
284	300	754
285	301	753
286	302	751
287	303	750
288	304	749
289	305	748
290	306	747
291	307	746
292	308	745
293	309	744
294	310	742
295	311	741
296	312	740
297	313	739
298	315	738
299	316	737
300	317	736
301	318	735
302	319	734
303	320	733
304	321	732
305	322	731
306	323	730
307	324	729
308	325	728
309	326	727
310	327	726
311	328	724
312	329	723
313	330	722
314	332	721
315	333	720
316	334	719
317	335	718
318	336	717
319	337	716
320	338	715
321	339	714
322	340	713
323	341	712
324	342	711
325	343	710
326	344	708
327	345	707
328	346	706
329	347	705
330	348	704
331	349	703
332	350	702
333	351	701
334	352	700
335	353	699
336	354	697
337	355	696
338	356	695
339	357	694
340	358	693
341	359	692
342	360	690
343	361	689
344	362	688
345	363	687
346	364	686
347	365	685
348	366	684
349	367	683
350	369	682
351	370	681
352	371	680
353	372	679
354	373	678
355	374	677
356	375	675
357	376	674
358	377	673
359	378	672
360	379	671
361	380	670
362	381	669
363	382	668
364	383	667
365	384	666
366	385	665
367	386	664
368	387	663
369	389	662
370	390	661
371	391	660
372	392	659
373	393	658
374	394	657
375	395	655
376	396	654
377	397	653
378	398	652
379	399	651
380	400	650
381	401	649
382	402	648
383	403	647
384	404	646
385	405	645
386	406	644
387	407	643
388	408	642
389	410	641
390	411	641
391	412	640
392	413	639
393	414	638
394	415	636
395	416	635
396	417	634
397	418	633
398	419	632
399	420	631
400	422	630
401	423	629
402	424	628
403	425	627
404	426	626
405	427	624
406	428	623
407	429	622
408	430	621
409	431	620
410	432	619
411	433	618
412	434	617
413	435	616
414	436	615
415	437	614
416	438	613
417	439	612
418	440	611
419	442	610
420	443	609
421	444	608
422	445	607
423	446	606
424	447	605
425	448	604
426	449	603
427	450	602
428	451	601
429	453	600
430	454	599
431	455	598
432	456	597
433	457	596
434	458	595
435	459	594
436	460	593
437	461	592
438	462	591
439	463	590
440	464	588
441	465	587
442	466	586
443	467	585
444	468	584
445	470	583
446	471	582
447	472	581
448	473	580
449	474	579
450	475	578
451	476	577
452	477	577
453	479	576
454	480	575
455	481	573
456	482	573
457	483	572
458	484	571
459	485	570
460	486	569
461	487	568
462	489	567
463	490	566
464	491	565
465	492	564
466	493	562
467	494	561
468	495	560
469	496	559
470	497	558
471	498	557
472	499	556
473	500	555
474	501	554
475	502	553
476	503	552
477	505	552
478	507	551
479	508	550
480	509	549
481	510	548
482	511	547
483	513	546
484	514	546
485	515	544
486	516	543
487	517	542
488	518	541
489	519	540
490	520	539
491	521	538
492	522	537
493	523	536
494	525	535
495	526	534
496	527	533
497	528	532
498	529	531
499	530	530
500	531	529
501	532	528
502	533	527
503	535	526
504	536	525
505	537	524
506	538	523
507	539	522
508	540	521
509	541	520
510	542	518
511	543	517
512	544	517
513	545	516
514	546	515
515	548	514
516	549	512
517	550	511
518	551	510
519	552	509
520	553	508
521	554	507
522	555	506
523	556	505
524	557	504
525	558	503
526	559	502
527	560	501
528	561	500
529	563	499
530	564	498
531	565	497
532	566	496
533	567	495
534	568	494
535	570	493
536	571	492
537	572	491
538	573	490
539	574	489
540	575	488
541	577	487
542	578	486
543	579	485
544	580	484
545	581	483
546	582	482
547	583	481
548	584	480
549	585	479
550	586	478
551	587	477
552	588	476
553	590	475
554	591	473
555	592	472
556	593	471
557	594	470
558	595	469
559	596	468
560	597	467
561	598	466
562	599	465
563	600	464
564	601	463
565	602	462
566	603	461
567	604	460
568	605	459
569	607	457
570	608	456
571	609	455
572	609	454
573	610	453
574	612	452
575	613	451
576	614	450
577	615	449
578	616	447
579	617	446
580	618	445
581	619	444
582	620	443
583	621	442
584	622	441
585	623	440
586	624	439
587	625	438
588	626	437
589	627	436
590	628	434
591	629	433
592	630	432
593	631	431
594	632	430
595	633	429
596	634	428
597	635	427
598	636	426
599	638	425
600	639	424
601	640	423
602	641	422
603	642	421
604	643	419
605	644	418
606	645	417
607	646	416
608	647	415
609	648	414
610	649	413
611	650	412
612	651	411
613	652	410
614	653	409
615	654	408
616	655	407
617	656	406
618	657	404
619	658	403
620	659	402
621	661	401
622	662	400
623	663	399
624	664	398
625	665	397
626	666	396
627	667	395
628	668	394
629	669	393
630	670	392
631	671	391
632	672	390
633	673	388
634	674	387
635	675	386
636	676	385
637	677	384
638	678	383
639	680	382
640	681	381
641	682	380
642	683	379
643	684	378
644	685	377
645	686	376
646	687	375
647	688	374
648	689	372
649	690	371
650	691	370
651	692	369
652	693	368
653	694	367
654	696	366
655	697	365
656	698	364
657	699	363
658	700	362
659	701	361
660	702	360
661	703	359
662	704	358
663	705	357
664	706	356
665	707	354
666	708	353
667	709	352
668	710	351
669	711	350
670	713	349
671	714	348
672	715	347
673	716	346
674	717	345
675	718	344
676	719	343
677	720	342
678	721	341
679	722	340
680	723	338
681	724	337
682	725	336
683	726	335
684	727	334
685	728	333
686	729	332
687	730	331
688	731	330
689	732	329
690	734	328
691	735	327
692	736	326
693	737	325
694	738	323
695	739	322
696	740	321
697	741	320
698	742	319
699	743	318
700	744	317
701	745	316
702	746	315
703	747	314
704	748	313
705	749	312
706	751	311
707	752	310
708	753	309
709	754	308
710	755	307
711	756	305
712	757	304
713	758	303
714	759	302
715	760	301
716	761	300
717	762	299
718	763	298
719	764	297
720	765	296
721	767	295
722	768	294
723	769	293
724	770	292
725	770	290
726	772	289
727	773	288
728	774	287
729	775	286
730	776	285
731	777	284
