iter	Passed	Remaining
0	24	12011
1	37	9457
2	51	8457
3	66	8232
4	83	8224
5	99	8170
6	116	8198
7	132	8129
8	147	8030
9	158	7788
10	173	7697
11	186	7586
12	199	7478
13	212	7378
14	223	7222
15	235	7114
16	247	7035
17	261	6995
18	274	6960
19	290	6972
20	305	6966
21	320	6960
22	336	6980
23	353	7019
24	357	6800
25	372	6796
26	386	6772
27	400	6757
28	417	6780
29	432	6773
30	449	6794
31	462	6768
32	478	6771
33	494	6772
34	509	6767
35	525	6779
36	540	6757
37	552	6714
38	565	6682
39	577	6637
40	590	6608
41	603	6577
42	614	6530
43	627	6498
44	638	6460
45	652	6441
46	664	6401
47	677	6375
48	689	6344
49	700	6304
50	713	6284
51	727	6264
52	739	6237
53	752	6215
54	763	6178
55	777	6162
56	789	6132
57	799	6091
58	811	6066
59	822	6031
60	834	6008
61	846	5980
62	857	5950
63	870	5930
64	881	5901
65	892	5870
66	903	5839
67	916	5820
68	927	5795
69	939	5769
70	950	5744
71	962	5721
72	973	5694
73	983	5664
74	994	5637
75	1005	5610
76	1017	5588
77	1028	5565
78	1041	5549
79	1053	5528
80	1065	5509
81	1077	5494
82	1089	5475
83	1102	5457
84	1113	5435
85	1125	5419
86	1138	5402
87	1149	5379
88	1160	5360
89	1171	5336
90	1185	5329
91	1199	5320
92	1212	5306
93	1224	5287
94	1236	5271
95	1247	5249
96	1258	5229
97	1269	5205
98	1282	5196
99	1293	5173
100	1304	5151
101	1316	5135
102	1327	5117
103	1339	5098
104	1353	5089
105	1366	5078
106	1378	5064
107	1391	5049
108	1401	5028
109	1416	5020
110	1429	5009
111	1440	4990
112	1451	4970
113	1463	4956
114	1475	4940
115	1489	4930
116	1501	4914
117	1513	4901
118	1526	4886
119	1538	4872
120	1551	4860
121	1565	4851
122	1577	4836
123	1590	4822
124	1601	4805
125	1614	4791
126	1626	4778
127	1640	4768
128	1654	4759
129	1670	4753
130	1685	4747
131	1699	4737
132	1713	4727
133	1727	4718
134	1743	4712
135	1756	4700
136	1769	4688
137	1785	4684
138	1801	4679
139	1821	4682
140	1839	4683
141	1854	4676
142	1870	4670
143	1887	4667
144	1907	4669
145	1919	4654
146	1932	4640
147	1944	4624
148	1956	4607
149	1967	4591
150	1979	4576
151	1993	4563
152	2006	4551
153	2019	4536
154	2032	4523
155	2045	4510
156	2061	4502
157	2077	4496
158	2091	4484
159	2103	4470
160	2121	4466
161	2135	4455
162	2151	4449
163	2165	4436
164	2183	4432
165	2196	4419
166	2210	4407
167	2223	4393
168	2236	4379
169	2252	4372
170	2271	4370
171	2292	4371
172	2310	4366
173	2326	4358
174	2343	4351
175	2358	4342
176	2372	4329
177	2383	4311
178	2396	4296
179	2409	4283
180	2421	4268
181	2434	4252
182	2445	4235
183	2458	4222
184	2470	4206
185	2481	4188
186	2493	4174
187	2504	4156
188	2516	4140
189	2527	4124
190	2538	4107
191	2551	4092
192	2562	4075
193	2576	4063
194	2589	4050
195	2602	4036
196	2614	4021
197	2625	4004
198	2636	3987
199	2647	3970
200	2659	3956
201	2673	3944
202	2686	3930
203	2697	3913
204	2710	3900
205	2724	3888
206	2738	3876
207	2750	3861
208	2765	3850
209	2780	3840
210	2795	3828
211	2810	3817
212	2827	3809
213	2843	3799
214	2854	3783
215	2866	3768
216	2876	3751
217	2890	3739
218	2901	3723
219	2913	3707
220	2925	3693
221	2937	3678
222	2950	3664
223	2961	3649
224	2974	3635
225	2986	3621
226	2999	3607
227	3011	3592
228	3021	3576
229	3032	3560
230	3045	3545
231	3060	3535
232	3073	3522
233	3086	3509
234	3097	3493
235	3110	3479
236	3124	3466
237	3135	3451
238	3146	3436
239	3158	3422
240	3170	3407
241	3180	3391
242	3197	3381
243	3209	3367
244	3222	3353
245	3236	3341
246	3249	3328
247	3264	3317
248	3277	3303
249	3292	3292
250	3307	3281
251	3323	3270
252	3337	3258
253	3352	3246
254	3365	3233
255	3377	3219
256	3390	3206
257	3403	3192
258	3414	3177
259	3427	3163
260	3438	3148
261	3449	3133
262	3461	3119
263	3472	3104
264	3483	3089
265	3496	3075
266	3507	3061
267	3519	3046
268	3530	3031
269	3545	3020
270	3559	3007
271	3575	2996
272	3589	2984
273	3603	2972
274	3618	2960
275	3631	2947
276	3645	2934
277	3661	2923
278	3674	2910
279	3691	2900
280	3704	2887
281	3718	2874
282	3730	2860
283	3743	2846
284	3756	2833
285	3769	2820
286	3780	2805
287	3792	2791
288	3803	2777
289	3814	2762
290	3826	2748
291	3838	2734
292	3852	2721
293	3863	2707
294	3875	2692
295	3890	2681
296	3903	2667
297	3917	2655
298	3929	2641
299	3943	2629
300	3959	2617
301	3975	2606
302	3992	2595
303	4008	2584
304	4022	2572
305	4037	2559
306	4052	2547
307	4067	2535
308	4080	2522
309	4094	2509
310	4112	2499
311	4127	2487
312	4144	2475
