iter	Passed	Remaining
0	5	2960
1	9	2371
2	13	2167
3	17	2213
4	20	2061
5	23	1946
6	26	1844
7	28	1771
8	31	1709
9	33	1653
10	36	1608
11	38	1573
12	41	1543
13	43	1516
14	46	1499
15	48	1477
16	51	1476
17	54	1452
18	56	1430
19	58	1412
20	61	1401
21	64	1393
22	66	1380
23	69	1368
24	71	1363
25	74	1352
26	76	1344
27	79	1339
28	82	1332
29	84	1323
30	86	1310
31	88	1298
32	91	1289
33	93	1279
34	95	1270
35	98	1269
36	101	1272
37	104	1266
38	106	1259
39	109	1258
40	111	1251
41	113	1236
42	115	1229
43	118	1223
44	120	1217
45	122	1212
46	125	1206
47	127	1201
48	129	1196
49	132	1190
50	134	1185
51	136	1180
52	139	1174
53	141	1170
54	143	1164
55	146	1159
56	148	1155
57	150	1150
58	153	1145
59	155	1141
60	158	1139
61	160	1134
62	163	1132
63	165	1127
64	167	1122
65	170	1118
66	172	1114
67	174	1110
68	177	1107
69	179	1103
70	181	1099
71	184	1094
72	186	1090
73	188	1086
74	190	1082
75	193	1078
76	195	1074
77	197	1071
78	200	1067
79	202	1064
80	205	1061
81	207	1058
82	209	1054
83	210	1042
84	212	1039
85	215	1035
86	217	1032
87	220	1030
88	222	1026
89	224	1022
90	226	1019
91	228	1015
92	231	1013
93	234	1012
94	236	1008
95	238	1005
96	241	1003
97	244	1003
98	247	1000
99	249	997
100	249	986
101	252	984
102	254	981
103	257	978
104	260	980
105	263	980
106	266	978
107	268	975
108	271	972
109	273	968
110	275	966
111	278	964
112	280	961
113	283	960
114	286	958
115	288	956
116	291	953
117	293	950
118	297	951
119	299	948
120	302	946
121	305	946
122	308	945
123	311	943
124	314	942
125	316	940
126	319	937
127	321	935
128	324	931
129	326	930
130	329	928
131	331	925
132	334	923
133	337	920
134	339	917
135	341	915
136	344	911
137	346	908
138	349	907
139	351	904
140	354	901
141	357	900
142	359	897
143	361	894
144	364	891
145	366	888
146	368	885
147	371	883
148	373	880
149	376	877
150	378	874
151	380	871
152	383	868
153	385	866
154	387	862
155	389	859
156	392	857
157	394	854
158	396	851
159	399	848
160	401	845
161	403	842
162	406	839
163	408	837
164	411	834
165	413	831
166	415	828
167	418	826
168	420	823
169	422	820
170	424	817
171	427	814
172	429	812
173	431	808
174	434	806
175	436	803
176	438	800
177	441	798
178	443	795
179	446	792
180	448	790
181	450	787
182	452	784
183	455	781
184	457	779
185	460	776
186	462	774
187	465	772
188	467	769
189	470	766
190	472	764
191	474	761
192	477	758
193	479	756
194	482	754
195	484	752
196	487	749
197	489	746
198	492	744
199	494	741
200	497	739
201	499	736
202	501	734
203	504	731
204	506	728
205	508	726
206	511	723
207	513	720
208	515	717
209	517	715
210	520	712
211	522	710
212	525	708
213	527	705
214	530	702
215	532	700
216	535	697
217	537	695
218	539	692
219	541	689
220	544	687
221	546	684
222	549	682
223	551	679
224	553	676
225	556	674
226	558	672
227	561	669
228	563	667
229	566	664
230	568	662
231	571	660
232	573	657
233	575	654
234	578	652
235	581	650
236	583	647
237	586	645
238	588	642
239	590	640
240	593	637
241	595	635
242	598	632
243	600	630
244	603	627
245	605	625
246	607	622
247	610	620
248	612	617
249	614	614
250	617	612
251	619	609
252	621	606
253	624	604
254	626	602
255	629	599
256	630	595
257	632	593
258	634	590
259	637	588
260	639	585
261	642	583
262	644	580
263	646	578
264	649	575
265	651	573
266	653	570
267	656	568
268	658	565
269	661	563
270	663	560
271	665	558
272	668	555
273	670	553
274	672	550
275	675	548
276	677	545
277	680	543
278	682	540
279	684	538
280	687	535
281	689	532
282	691	530
283	694	527
284	696	525
285	698	522
286	701	520
287	703	517
288	705	515
289	707	512
290	710	510
291	712	507
292	715	505
293	717	502
294	719	500
295	722	497
296	724	495
297	726	492
298	729	490
299	731	487
300	734	485
301	736	482
302	738	480
303	741	477
304	743	475
305	745	472
306	748	470
307	750	467
308	753	465
309	755	463
310	757	460
311	760	458
312	762	455
313	764	453
314	766	450
315	769	447
316	771	445
317	773	442
